Id,Asset class,Emission factor type,Country,Data level 1 information,Data level 2 information,EPC Rating,Emission factor functional unit (name),Emission factor functional unit (unit),Emission factor (name),Emission factor (unit),PCAF data quality score,Emission factor
9684,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Office,B,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,22.9292
9685,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Office,C,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,32.1109
9686,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Office,D,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,41.5627
9687,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Office,E,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,51.0146
9688,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Office,F,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,59.7912
9689,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Office,G,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,67.6227
9690,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - High Street,A,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,18.9929
9691,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - High Street,B,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,31.0677
9692,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - High Street,C,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,43.5085
9693,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - High Street,D,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,56.3152
9694,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - High Street,E,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,69.1218
9695,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - High Street,F,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,81.0137
9696,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - High Street,G,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,91.625
9697,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - Shopping Center,A,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,15.0294
9698,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - Shopping Center,B,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,24.5844
9699,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - Shopping Center,C,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,34.429
9700,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - Shopping Center,D,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,44.5631
9701,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - Shopping Center,E,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,54.6972
9702,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - Shopping Center,F,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,64.1074
9703,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - Shopping Center,G,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,72.5043
9704,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - Strip Mall,A,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,16.0901
9705,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - Strip Mall,B,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,25.4006
9706,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - Strip Mall,C,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,34.9932
9707,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - Strip Mall,D,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,44.868
9708,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - Strip Mall,E,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,54.7427
9709,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - Strip Mall,F,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,63.9121
9710,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Retail - Strip Mall,G,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,72.094
9711,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Hotel,A,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,8.50905
9712,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Hotel,B,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,13.9187
9713,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Hotel,C,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,19.4923
9714,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Hotel,D,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,25.2299
9715,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Hotel,E,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,30.9674
9716,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Hotel,F,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,36.2952
9717,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Hotel,G,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,41.0491
9718,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Industrial distribution warehouse,A,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,2.2239
9719,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Industrial distribution warehouse,B,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,3.63775
9720,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Industrial distribution warehouse,C,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,5.09445
9721,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Industrial distribution warehouse,D,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,6.594
9722,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Industrial distribution warehouse,E,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,8.09354
9723,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Industrial distribution warehouse,F,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,9.48598
9724,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Industrial distribution warehouse,G,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,10.7285
9725,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Healthcare,A,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,38.6636
9726,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Healthcare,B,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,63.2442
9727,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Healthcare,C,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,88.5697
9728,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Healthcare,D,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,114.64
9729,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Healthcare,E,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,140.71
9730,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Healthcare,F,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,164.919
9731,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Healthcare,G,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,186.52
9732,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Leisure and sports facilities,A,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,12.8739
9733,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Leisure and sports facilities,B,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,21.0586
9734,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Leisure and sports facilities,C,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,29.4913
9735,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Leisure and sports facilities,D,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,38.172
9736,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Leisure and sports facilities,E,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,46.8527
9737,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Leisure and sports facilities,F,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,54.9133
9738,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Leisure and sports facilities,G,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,62.1059
9746,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Non-Residential Total,A,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,11.6711
9747,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Non-Residential Total,B,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,19.0911
9748,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Non-Residential Total,C,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,26.7359
9749,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Non-Residential Total,D,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,34.6056
9750,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Non-Residential Total,E,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,42.4753
9751,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Non-Residential Total,F,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,49.7829
9752,Commercial real estate,Emissions,United Kingdom - Northern Ireland,Non-Residential buildings,Non-Residential Total,G,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,56.3035
9767,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Office,A,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,12.6086
9768,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Office,B,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,18.6146
9769,Commercial real estate,Emissions,United Kingdom - Scotland,Non-Residential buildings,Office,C,Dwelling,#,EPC Emission Intensity per #,tCO&lt;sub&gt;2&lt;/sub&gt;e/#,3,24.8026
