Geographies,Framework,Framework Sub-Category,Industry,Sector,ProductCategories_AssetClasses,Applicable Asset_Class (Short Name),Applicable Sub-Asset_Class
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Financial assets at fair value through other comprehensive income,Financial assets in other  income,Loans and advances
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Financial assets designated at fair value through profit or loss,Designated valued financial assets,Debt securities
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Financial assets designated at fair value through profit or loss,Designated valued financial assets,Loans and advances
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Financial assets held for trading,Trading financial assets,Debt securities
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Financial assets held for trading,Trading financial assets,Derivatives
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Financial assets held for trading,Trading financial assets,Equity instruments
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Financial assets held for trading,Trading financial assets,Loans and advances
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,"Investments in subsidiaries, joint ventures and associates","Investments in subsidiaries, joint ventures, and associates","Investments in subsidiaries, joint ventures, and associates"
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Non-current assets and disposal groups classified as held for sale,Non-current assets for sale,Non-current assets for sale
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets,Debt securities
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets,Equity instruments
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets,Loans and advances
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Other assets,Other assets,Other assets
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Tangible assets,Tangible assets,Investment property
Europe,Pillar 3,,Financial Services,Banking & Capital Markets,Tangible assets,Tangible assets,"Property, Plant and Equipment"
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth","Cash, cash balances at central banks and other demand deposits",Cash and demand deposits,Cash balances at central banks
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth","Cash, cash balances at central banks and other demand deposits",Cash and demand deposits,Cash on hand
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth","Cash, cash balances at central banks and other demand deposits",Cash and demand deposits,Other demand deposits
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Derivatives – Hedge accounting,Hedge accounting derivatives,Hedge accounting derivatives
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Fair value changes of the hedged items in portfolio hedge of interest rate risk,Hedged items interest rate risk fair value changes,Hedged items interest rate risk fair value changes
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets at amortised cost,Amortised cost financial assets,Debt securities
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets at amortised cost,Amortised cost financial assets,Loans and advances
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets at fair value through other comprehensive income,Financial assets in other  income,Debt securities
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets at fair value through other comprehensive income,Financial assets in other  income,Equity instruments
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets at fair value through other comprehensive income,Financial assets in other  income,Loans and advances
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets designated at fair value through profit or loss,Designated valued financial assets,Debt securities
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets designated at fair value through profit or loss,Designated valued financial assets,Loans and advances
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets held for trading,Trading financial assets,Debt securities
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets held for trading,Trading financial assets,Derivatives
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets held for trading,Trading financial assets,Equity instruments
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Financial assets held for trading,Trading financial assets,Loans and advances
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth","Investments in subsidiaries, joint ventures and associates","Investments in subsidiaries, joint ventures, and associates","Investments in subsidiaries, joint ventures, and associates"
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Non-current assets and disposal groups classified as held for sale,Non-current assets for sale,Non-current assets for sale
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets,Debt securities
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets,Equity instruments
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Non-trading financial assets mandatorily at fair value through profit or loss,Mandatorily valued non-trading  assets,Loans and advances
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Other assets,Other assets,Other assets
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Tangible assets,Tangible assets,Investment property
Europe,Pillar 3,,Financial Services,"Investment, Assets and Wealth",Tangible assets,Tangible assets,"Property, Plant and Equipment"
Europe,Pillar 3,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Europe,Pillar 3,,Financial Services,Insurance,(TBC),(TBC),(TBC)
Europe,Pillar 3,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
Europe,SFDR,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
Europe,SFDR,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Europe,SFDR,,Financial Services,Insurance,(TBC),(TBC),(TBC)
Europe,SFDR,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
Europe,SFDR,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
Europe,TCFD,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
Europe,TCFD,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Europe,TCFD,,Financial Services,Insurance,(TBC),(TBC),(TBC)
Europe,TCFD,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
Europe,TCFD,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
Europe,TCFD,,Consumer,Automotive,(TBC),(TBC),(TBC)
Europe,TCFD,,Government & Public Services,Central Government,(TBC),(TBC),(TBC)
Europe,TCFD,,Consumer,Consumer Products,(TBC),(TBC),(TBC)
Europe,TCFD,,Government & Public Services,"Defence, Security & Justice",(TBC),(TBC),(TBC)
Europe,TCFD,,"Energy, Resources & Industrials",Energy & Chemicals,(TBC),(TBC),(TBC)
Europe,TCFD,,Government & Public Services,Health & Human Services,(TBC),(TBC),(TBC)
Europe,TCFD,,Life Sciences & Health Care,Health Care,(TBC),(TBC),(TBC)
Europe,TCFD,,"Energy, Resources & Industrials",Industrial Products & Construction,(TBC),(TBC),(TBC)
Europe,TCFD,,Government & Public Services,"Infrastructure, Transport & Regional Government",(TBC),(TBC),(TBC)
Europe,TCFD,,Life Sciences & Health Care,Life Sciences,(TBC),(TBC),(TBC)
Europe,TCFD,,"Energy, Resources & Industrials",Mining & Metals,(TBC),(TBC),(TBC)
Europe,TCFD,,"Energy, Resources & Industrials","Power, Utilities & Renewables",(TBC),(TBC),(TBC)
Europe,TCFD,,Consumer,"Retail, Wholesale & Distribution",(TBC),(TBC),(TBC)
Europe,TCFD,,"Tech, Media & Telecom",Technology,(TBC),(TBC),(TBC)
Europe,TCFD,,"Tech, Media & Telecom","Telecommunication, Media & Entertainment",(TBC),(TBC),(TBC)
Europe,TCFD,,Consumer,"Transport, Hospitality & Services",(TBC),(TBC),(TBC)
Europe,TNFD,,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Europe,TNFD,,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
Europe,TNFD,,Financial Services,Insurance,(TBC),(TBC),(TBC)
Europe,TNFD,,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
Europe,TNFD,,Financial Services,Real Estate,(TBC),(TBC),(TBC)
Europe,TNFD,,Consumer,Automotive,(TBC),(TBC),(TBC)
Europe,TNFD,,Government & Public Services,Central Government,(TBC),(TBC),(TBC)
Europe,TNFD,,Consumer,Consumer Products,(TBC),(TBC),(TBC)
Europe,TNFD,,Government & Public Services,"Defence, Security & Justice",(TBC),(TBC),(TBC)
Europe,TNFD,,"Energy, Resources & Industrials",Energy & Chemicals,(TBC),(TBC),(TBC)
Europe,TNFD,,Government & Public Services,Health & Human Services,(TBC),(TBC),(TBC)
Europe,TNFD,,Life Sciences & Health Care,Health Care,(TBC),(TBC),(TBC)
Europe,TNFD,,"Energy, Resources & Industrials",Industrial Products & Construction,(TBC),(TBC),(TBC)
Europe,TNFD,,Government & Public Services,"Infrastructure, Transport & Regional Government",(TBC),(TBC),(TBC)
Europe,TNFD,,Life Sciences & Health Care,Life Sciences,(TBC),(TBC),(TBC)
Europe,TNFD,,"Energy, Resources & Industrials",Mining & Metals,(TBC),(TBC),(TBC)
Europe,TNFD,,"Energy, Resources & Industrials","Power, Utilities & Renewables",(TBC),(TBC),(TBC)
Europe,TNFD,,Consumer,"Retail, Wholesale & Distribution",(TBC),(TBC),(TBC)
Europe,TNFD,,"Tech, Media & Telecom",Technology,(TBC),(TBC),(TBC)
Europe,TNFD,,"Tech, Media & Telecom","Telecommunication, Media & Entertainment",(TBC),(TBC),(TBC)
Europe,TNFD,,Consumer,"Transport, Hospitality & Services",(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Banking & Capital Markets,(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Fintech & Alternative Finance,(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Insurance,(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Financial Services,"Investment, Assets and Wealth",(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Financial Services,Real Estate,(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Consumer,Automotive,(TBC),(TBC),(TBC)
Global,IFRS/ISSB (inc CDSB+VRF),,Government & Public Services,Central Government,(TBC),(TBC),(TBC)
